huntCode,species,sex,huntType,huntClass,area,unitCode,unitNames,weapon,conditions,permitCount,organizations,averageValue,sourceSpecies,sourceRowStart,sourceRowNumbers,matchedPermitRegister,matchedRegisterLabel,matchedCanonicalHunts,boundaryIds,sourceHuntCodes
CP-DEER-BOOK-CLIFFS-BUCK-MUZZLELOADER,Deer,Buck,Conservation,UHA,Book Cliffs,book-cliffs,"Book Cliffs | Book Cliffs (North & South) | Book Cliffs, North | Book Cliffs, South",Muzzleloader,Muzzleloader,1,UHA,7375,Deer,94,94,true,Book Cliffs Conservation Permit,false,15 | 7 | 714,DB1056 | DB1075 | DB1076
CP-DEER-BOOK-CLIFFS-BUCK-MUZZLELOADER,Deer,Buck,Conservation,WCF,Book Cliffs,book-cliffs,"Book Cliffs | Book Cliffs (North & South) | Book Cliffs, North | Book Cliffs, South",Muzzleloader,Muzzleloader,1,WCF,7375,Deer,95,95,true,Book Cliffs Conservation Permit,false,15 | 7 | 714,DB1056 | DB1075 | DB1076
CP-DEER-DIAMOND-MTN-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,RMEF,Diamond Mtn,diamond-mtn,Diamond Mtn,Any Legal Weapon,Hunter's Choice,1,RMEF,12666.67,Deer,97,97,true,Diamond Mtn Conservation Permit,false,206,
CP-DEER-DIAMOND-MTN-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,MDF,Diamond Mtn,diamond-mtn,Diamond Mtn,Any Legal Weapon,Hunter's Choice,1,MDF,12666.67,Deer,98,98,true,Diamond Mtn Conservation Permit,false,206,
CP-DEER-DIAMOND-MTN-BUCK-ARCHERY,Deer,Buck,Conservation,MDF,Diamond Mtn,diamond-mtn,Diamond Mtn,Archery,Archery,1,MDF,11500,Deer,96,96,true,Diamond Mtn Conservation Permit,false,206,
CP-DEER-DIAMOND-MTN-BUCK-MULTISEASON,Deer,Buck,Conservation,MDF,Diamond Mtn,diamond-mtn,Diamond Mtn,Multiseason,Multiseason,2,MDF,14000,Deer,99,99 | 100,true,Diamond Mtn Conservation Permit,false,206,
CP-DEER-DIAMOND-MTN-BUCK-MUZZLELOADER,Deer,Buck,Conservation,SFW,Diamond Mtn,diamond-mtn,Diamond Mtn,Muzzleloader,Muzzleloader,1,SFW,9666.67,Deer,101,101,true,Diamond Mtn Conservation Permit,false,206,
CP-DEER-FILLMORE-OAK-CREEK-LE-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,MDF,"Fillmore, Oak Creek LE",fillmore-oak-creek-le,"Fillmore, Oak Creek LE",Any Legal Weapon,Hunter's Choice,1,MDF,71250,Deer,102,102,true,"Fillmore, Oak Creek LE Conservation Permit",false,85,
CP-DEER-FILLMORE-OAK-CREEK-LE-BUCK-MULTISEASON,Deer,Buck,Conservation,MDF,"Fillmore, Oak Creek LE",fillmore-oak-creek-le,"Fillmore, Oak Creek LE",Multiseason,Multiseason,1,MDF,78000,Deer,103,103,true,"Fillmore, Oak Creek LE Conservation Permit",false,85,
CP-DEER-HENRY-MTNS-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,SFW,Henry Mtns,henry-mtns,Henry Mtns,Any Legal Weapon,Hunter's Choice,1,SFW,104166.67,Deer,79,79,true,Henry Mtns Conservation Permit,false,94,
CP-DEER-HENRY-MTNS-BUCK-MULTISEASON,Deer,Buck,Conservation,MDF,Henry Mtns,henry-mtns,Henry Mtns,Multiseason,Multiseason,1,MDF,114500,Deer,80,80,true,Henry Mtns Conservation Permit,false,94,
CP-DEER-LA-SAL-DOLORES-TRIANGLE-BUCK-MULTISEASON,Deer,Buck,Conservation,SCI,"La Sal, Dolores Triangle",la-sal-dolores-triangle,"Dolores Triangle | La Sal Mtns | La Sal, Dolores Triangle",Multiseason,Multiseason,1,SCI,30000,Deer,104,104,true,"La Sal, Dolores Triangle Conservation Permit",false,108 | 617,DB1118
CP-DEER-PAUNSAUGUNT-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,MDF,Paunsaugunt,paunsaugunt,Paunsaugunt,Any Legal Weapon,Hunter's Choice,1,MDF,74666.67,Deer,82,82,true,Paunsaugunt Conservation Permit,false,163,
CP-DEER-PAUNSAUGUNT-BUCK-ANY-LEGAL-WEAPON,Deer,Buck,Conservation,SFW,Paunsaugunt,paunsaugunt,Paunsaugunt,Any Legal Weapon,Hunter's Choice,1,SFW,74666.67,Deer,83,83,true,Paunsaugunt Conservation Permit,false,163,
CP-DEER-PAUNSAUGUNT-BUCK-ARCHERY,Deer,Buck,Conservation,NWTF,Paunsaugunt,paunsaugunt,Paunsaugunt,Archery,Archery,1,NWTF,68333.33,Deer,81,81,true,Paunsaugunt Conservation Permit,false,163,
CP-DEER-PAUNSAUGUNT-BUCK-MULTISEASON,Deer,Buck,Conservation,SFW,Paunsaugunt,paunsaugunt,Paunsaugunt,Multiseason,Multiseason,2,SFW,82000,Deer,84,84 | 85,true,Paunsaugunt Conservation Permit,false,163,
CP-DEER-PAUNSAUGUNT-BUCK-MUZZLELOADER,Deer,Buck,Conservation,NWTF,Paunsaugunt,paunsaugunt,Paunsaugunt,Muzzleloader,Muzzleloader,1,NWTF,40000,Deer,86,86,true,Paunsaugunt Conservation Permit,false,163,
CP-DEER-PAUNSAUGUNT-BUCK-MUZZLELOADER,Deer,Buck,Conservation,MDF,Paunsaugunt,paunsaugunt,Paunsaugunt,Muzzleloader,Muzzleloader,1,MDF,40000,Deer,87,87,true,Paunsaugunt Conservation Permit,false,163,
