hunt_code,land_type,residency,point_level,applicants,permits_awarded,success_ratio_text
DA1030,public,Resident,13,0,0,N/A
DA1030,public,Resident,12,0,0,N/A
DA1030,public,Resident,11,0,0,N/A
DA1030,public,Resident,10,0,0,N/A
DA1030,public,Resident,9,0,0,N/A
DA1030,public,Resident,8,0,0,N/A
DA1030,public,Resident,7,0,0,N/A
DA1030,public,Resident,6,3,3,1 in 1.0
DA1030,public,Resident,5,0,0,N/A
DA1030,public,Resident,4,1,1,1 in 1.0
DA1030,public,Resident,3,9,9,1 in 1.0
DA1030,public,Resident,2,13,6,1 in 2.2
DA1030,public,Resident,1,22,0,N/A
DA1030,public,Resident,0,42,0,N/A
DA1031,public,Nonresident,19,0,0,N/A
DA1031,public,Nonresident,18,0,0,N/A
DA1031,public,Nonresident,17,0,0,N/A
DA1031,public,Nonresident,16,0,0,N/A
DA1031,public,Nonresident,15,0,0,N/A
DA1031,public,Nonresident,14,0,0,N/A
DA1031,public,Nonresident,13,0,0,N/A
DA1031,public,Nonresident,12,0,0,N/A
DA1031,public,Nonresident,11,0,0,N/A
DA1031,public,Nonresident,10,0,0,N/A
DA1031,public,Nonresident,9,0,0,N/A
DA1031,public,Nonresident,8,0,0,N/A
DA1031,public,Nonresident,7,0,0,N/A
DA1031,public,Nonresident,6,0,0,N/A
DA1031,public,Nonresident,5,0,0,N/A
DA1031,public,Nonresident,4,0,0,N/A
DA1031,public,Nonresident,3,0,0,N/A
DA1031,public,Nonresident,2,0,0,N/A
DA1031,public,Nonresident,1,1,0,N/A
DA1031,public,Nonresident,0,1,0,N/A
DA1031,public,Resident,19,0,0,N/A
DA1031,public,Resident,18,0,0,N/A
DA1031,public,Resident,17,0,0,N/A
DA1031,public,Resident,16,0,0,N/A
DA1031,public,Resident,15,0,0,N/A
DA1031,public,Resident,14,0,0,N/A
DA1031,public,Resident,13,0,0,N/A
DA1031,public,Resident,12,0,0,N/A
DA1031,public,Resident,11,0,0,N/A
DA1031,public,Resident,10,0,0,N/A
DA1031,public,Resident,9,0,0,N/A
DA1031,public,Resident,8,1,1,1 in 1.0
DA1031,public,Resident,7,1,1,1 in 1.0
DA1031,public,Resident,6,23,14,1 in 1.6
DA1031,public,Resident,5,42,0,N/A
DA1031,public,Resident,4,56,0,N/A
DA1031,public,Resident,3,38,0,N/A
DA1031,public,Resident,2,63,0,N/A
DA1031,public,Resident,1,87,0,N/A
DA1031,public,Resident,0,95,0,N/A
DA1033,public,Nonresident,19,0,0,N/A
DA1033,public,Nonresident,18,0,0,N/A
DA1033,public,Nonresident,17,0,0,N/A
DA1033,public,Nonresident,16,0,0,N/A
DA1033,public,Nonresident,15,0,0,N/A
DA1033,public,Nonresident,14,0,0,N/A
DA1033,public,Nonresident,13,0,0,N/A
DA1033,public,Nonresident,12,0,0,N/A
DA1033,public,Nonresident,11,0,0,N/A
DA1033,public,Nonresident,10,0,0,N/A
DA1033,public,Nonresident,9,0,0,N/A
DA1033,public,Nonresident,8,0,0,N/A
DA1033,public,Nonresident,7,0,0,N/A
DA1033,public,Nonresident,6,0,0,N/A
DA1033,public,Nonresident,5,0,0,N/A
DA1033,public,Nonresident,4,0,0,N/A
DA1033,public,Nonresident,3,0,0,N/A
DA1033,public,Nonresident,2,0,0,N/A
DA1033,public,Nonresident,1,0,0,N/A
DA1033,public,Nonresident,0,3,0,N/A
DA1033,public,Resident,19,0,0,N/A
DA1033,public,Resident,18,0,0,N/A
DA1033,public,Resident,17,0,0,N/A
DA1033,public,Resident,16,0,0,N/A
DA1033,public,Resident,15,0,0,N/A
DA1033,public,Resident,14,0,0,N/A
DA1033,public,Resident,13,0,0,N/A
DA1033,public,Resident,12,0,0,N/A
DA1033,public,Resident,11,0,0,N/A
DA1033,public,Resident,10,0,0,N/A
DA1033,public,Resident,9,0,0,N/A
DA1033,public,Resident,8,0,0,N/A
DA1033,public,Resident,7,0,0,N/A
DA1033,public,Resident,6,0,0,N/A
DA1033,public,Resident,5,0,0,N/A
DA1033,public,Resident,4,7,4,1 in 1.8
DA1033,public,Resident,3,6,0,N/A
DA1033,public,Resident,2,3,0,N/A
DA1033,public,Resident,1,9,0,N/A
DA1033,public,Resident,0,15,0,N/A
DA1041,public,Nonresident,19,0,0,N/A
DA1041,public,Nonresident,18,0,0,N/A
DA1041,public,Nonresident,17,0,0,N/A
DA1041,public,Nonresident,16,0,0,N/A
DA1041,public,Nonresident,15,0,0,N/A
DA1041,public,Nonresident,14,0,0,N/A
DA1041,public,Nonresident,13,0,0,N/A
DA1041,public,Nonresident,12,0,0,N/A
DA1041,public,Nonresident,11,0,0,N/A
DA1041,public,Nonresident,10,0,0,N/A
DA1041,public,Nonresident,9,0,0,N/A
DA1041,public,Nonresident,8,0,0,N/A
DA1041,public,Nonresident,7,0,0,N/A
DA1041,public,Nonresident,6,0,0,N/A
DA1041,public,Nonresident,5,0,0,N/A
DA1041,public,Nonresident,4,2,1,1 in 2.0
DA1041,public,Nonresident,3,2,0,N/A
DA1041,public,Nonresident,2,2,0,N/A
DA1041,public,Nonresident,1,4,0,N/A
DA1041,public,Nonresident,0,10,0,N/A
DA1041,public,Resident,19,0,0,N/A
DA1041,public,Resident,18,0,0,N/A
DA1041,public,Resident,17,0,0,N/A
DA1041,public,Resident,16,0,0,N/A
DA1041,public,Resident,15,0,0,N/A
DA1041,public,Resident,14,0,0,N/A
DA1041,public,Resident,13,0,0,N/A
DA1041,public,Resident,12,0,0,N/A
DA1041,public,Resident,11,0,0,N/A
DA1041,public,Resident,10,0,0,N/A
DA1041,public,Resident,9,0,0,N/A
DA1041,public,Resident,8,0,0,N/A
DA1041,public,Resident,7,2,2,1 in 1.0
DA1041,public,Resident,6,3,3,1 in 1.0
DA1041,public,Resident,5,5,5,1 in 1.0
DA1041,public,Resident,4,9,1,1 in 9.0
DA1041,public,Resident,3,22,0,N/A
DA1041,public,Resident,2,16,0,N/A
DA1041,public,Resident,1,49,0,N/A
DA1041,public,Resident,0,90,0,N/A
DA1042,public,Nonresident,19,0,0,N/A
DA1042,public,Nonresident,18,0,0,N/A
DA1042,public,Nonresident,17,0,0,N/A
DA1042,public,Nonresident,16,0,0,N/A
DA1042,public,Nonresident,15,0,0,N/A
DA1042,public,Nonresident,14,0,0,N/A
DA1042,public,Nonresident,13,0,0,N/A
DA1042,public,Nonresident,12,0,0,N/A
DA1042,public,Nonresident,11,0,0,N/A
DA1042,public,Nonresident,10,0,0,N/A
DA1042,public,Nonresident,9,0,0,N/A
DA1042,public,Nonresident,8,0,0,N/A
DA1042,public,Nonresident,7,0,0,N/A
DA1042,public,Nonresident,6,0,0,N/A
DA1042,public,Nonresident,5,0,0,N/A
DA1042,public,Nonresident,4,0,0,N/A
DA1042,public,Nonresident,3,0,0,N/A
DA1042,public,Nonresident,2,0,0,N/A
DA1042,public,Nonresident,1,2,0,N/A
DA1042,public,Nonresident,0,2,0,N/A
DA1042,public,Resident,19,0,0,N/A
DA1042,public,Resident,18,0,0,N/A
DA1042,public,Resident,17,0,0,N/A
DA1042,public,Resident,16,0,0,N/A
DA1042,public,Resident,15,0,0,N/A
DA1042,public,Resident,14,0,0,N/A
DA1042,public,Resident,13,0,0,N/A
DA1042,public,Resident,12,0,0,N/A
DA1042,public,Resident,11,0,0,N/A
DA1042,public,Resident,10,0,0,N/A
DA1042,public,Resident,9,0,0,N/A
DA1042,public,Resident,8,0,0,N/A
DA1042,public,Resident,7,0,0,N/A
DA1042,public,Resident,6,0,0,N/A
DA1042,public,Resident,5,0,0,N/A
DA1042,public,Resident,4,5,4,1 in 1.3
DA1042,public,Resident,3,5,0,N/A
DA1042,public,Resident,2,3,0,N/A
DA1042,public,Resident,1,9,0,N/A
DA1042,public,Resident,0,8,0,N/A
DA1045,public,Nonresident,19,0,0,N/A
DA1045,public,Nonresident,18,0,0,N/A
DA1045,public,Nonresident,17,0,0,N/A
DA1045,public,Nonresident,16,0,0,N/A
DA1045,public,Nonresident,15,0,0,N/A
DA1045,public,Nonresident,14,0,0,N/A
DA1045,public,Nonresident,13,0,0,N/A
DA1045,public,Nonresident,12,0,0,N/A
DA1045,public,Nonresident,11,0,0,N/A
DA1045,public,Nonresident,10,0,0,N/A
DA1045,public,Nonresident,9,0,0,N/A
DA1045,public,Nonresident,8,0,0,N/A
DA1045,public,Nonresident,7,0,0,N/A
DA1045,public,Nonresident,6,0,0,N/A
DA1045,public,Nonresident,5,0,0,N/A
DA1045,public,Nonresident,4,0,0,N/A
DA1045,public,Nonresident,3,0,0,N/A
DA1045,public,Nonresident,2,0,0,N/A
DA1045,public,Nonresident,1,0,0,N/A
DA1045,public,Nonresident,0,0,0,N/A
DA1045,public,Resident,19,0,0,N/A
DA1045,public,Resident,18,0,0,N/A
DA1045,public,Resident,17,0,0,N/A
DA1045,public,Resident,16,0,0,N/A
DA1045,public,Resident,15,0,0,N/A
DA1045,public,Resident,14,0,0,N/A
DA1045,public,Resident,13,0,0,N/A
DA1045,public,Resident,12,0,0,N/A
DA1045,public,Resident,11,0,0,N/A
DA1045,public,Resident,10,0,0,N/A
DA1045,public,Resident,9,0,0,N/A
DA1045,public,Resident,8,0,0,N/A
DA1045,public,Resident,7,0,0,N/A
DA1045,public,Resident,6,1,1,1 in 1.0
DA1045,public,Resident,5,3,3,1 in 1.0
DA1045,public,Resident,4,0,0,N/A
DA1045,public,Resident,3,6,6,1 in 1.0
DA1045,public,Resident,2,8,6,1 in 1.3
DA1045,public,Resident,1,22,0,N/A
DA1045,public,Resident,0,23,0,N/A
DA1046,public,Nonresident,19,0,0,N/A
DA1046,public,Nonresident,18,0,0,N/A
DA1046,public,Nonresident,17,0,0,N/A
DA1046,public,Nonresident,16,0,0,N/A
