recommendation_year,hunt_code,species,permit_category,section_title,hunt_name,weapon,sex_type,access_class,permit_split_type,resident_permits_prior_raw,nonresident_permits_prior_raw,total_permits_prior_raw,resident_permits_raw,nonresident_permits_raw,total_permits_raw,resident_permits_prior,nonresident_permits_prior,total_permits_prior,resident_permits,nonresident_permits,total_permits,source_type,source_authority_level,source_file,source_page_number
2026,DB1015,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Diamond Mtn,Archery,,Public,resident_nonresident,20,2,22,22,2,24,20,2,22,22,2,24,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1016,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"West Desert, Vernon",Archery,,Public,resident_nonresident,41,5,46,46,5,51,41,5,46,46,5,51,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1017,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"Book Cliffs, North",Any Legal Weapon,,Public,resident_nonresident,114,13,127,137,15,152,114,13,127,137,15,152,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1018,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"Book Cliffs, South",Any Legal Weapon,,Public,resident_nonresident,29,3,32,34,4,38,29,3,32,34,4,38,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1019,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"Fillmore, Oak Creek LE",Any Legal Weapon,,Public,resident_nonresident,31,3,34,33,4,37,31,3,34,33,4,37,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1020,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Dolores Triangle,Any Legal Weapon,,Public,resident_nonresident,11,1,12,13,2,15,11,1,12,13,2,15,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1022,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"San Juan, Elk Ridge",Any Legal Weapon,,Public,resident_nonresident,40,4,44,42,5,47,40,4,44,42,5,47,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1023,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Diamond Mtn,Any Legal Weapon,,Public,resident_nonresident,57,6,63,61,7,68,57,6,63,61,7,68,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1024,Deer,2026 RAC Workbook Permit Recommendations,Table 1,"West Desert, Vernon",Any Legal Weapon,,Public,resident_nonresident,118,13,131,130,14,144,118,13,131,130,14,144,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1025,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Book Cliffs,Muzzleloader,,Public,resident_nonresident,45,5,50,55,6,61,45,5,50,55,6,61,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
