hunt_code,residency,point_level,applicants,bonus_permits,random_permits,total_permits,success_ratio_text
DB1003,Nonresident,13,110,0,1,1,1 in 110.0
DB1003,Nonresident,12,121,0,0,0,N/A
DB1003,Nonresident,11,137,0,0,0,N/A
DB1003,Nonresident,10,135,0,0,0,N/A
DB1003,Nonresident,9,145,0,0,0,N/A
DB1003,Nonresident,8,154,0,0,0,N/A
DB1003,Nonresident,7,146,0,0,0,N/A
DB1003,Nonresident,6,136,0,0,0,N/A
DB1003,Nonresident,5,124,0,0,0,N/A
DB1003,Nonresident,4,136,0,0,0,N/A
DB1003,Nonresident,3,147,0,0,0,N/A
DB1003,Nonresident,2,158,0,0,0,N/A
DB1003,Nonresident,1,346,0,0,0,N/A
DB1003,Nonresident,0,375,0,0,0,N/A
DB1003,Resident,32,0,0,0,0,N/A
DB1003,Resident,31,0,0,0,0,N/A
DB1003,Resident,30,0,0,0,0,N/A
DB1003,Resident,29,0,0,0,0,N/A
DB1003,Resident,28,0,0,0,0,N/A
DB1003,Resident,27,0,0,0,0,N/A
DB1003,Resident,26,3,3,0,3,1 in 1.0
DB1003,Resident,25,36,8,0,8,1 in 4.5
DB1003,Resident,24,40,0,2,2,1 in 20.0
DB1003,Resident,23,62,0,2,2,1 in 31.0
DB1003,Resident,22,60,0,0,0,N/A
DB1003,Resident,21,68,0,0,0,N/A
DB1003,Resident,20,87,0,0,0,N/A
DB1003,Resident,19,91,0,1,1,1 in 91.0
DB1003,Resident,18,105,0,0,0,N/A
DB1003,Resident,17,100,0,1,1,1 in 100.0
DB1003,Resident,16,106,0,0,0,N/A
DB1003,Resident,15,113,0,0,0,N/A
DB1003,Resident,14,118,0,0,0,N/A
DB1003,Resident,13,115,0,0,0,N/A
DB1003,Resident,12,99,0,1,1,1 in 99.0
DB1003,Resident,11,105,0,1,1,1 in 105.0
DB1003,Resident,10,94,0,1,1,1 in 94.0
DB1003,Resident,9,110,0,1,1,1 in 110.0
DB1003,Resident,8,132,0,0,0,N/A
DB1003,Resident,7,113,0,0,0,N/A
DB1003,Resident,6,115,0,0,0,N/A
DB1003,Resident,5,100,0,0,0,N/A
DB1003,Resident,4,111,0,0,0,N/A
DB1003,Resident,3,136,0,0,0,N/A
DB1003,Resident,2,144,0,0,0,N/A
DB1003,Resident,1,133,0,0,0,N/A
DB1003,Resident,0,161,0,0,0,N/A
DB1004,Nonresident,32,0,0,0,0,N/A
DB1004,Nonresident,31,0,0,0,0,N/A
DB1004,Nonresident,30,0,0,0,0,N/A
DB1004,Nonresident,29,1,1,0,1,1 in 1.0
DB1004,Nonresident,28,5,3,0,3,1 in 1.7
DB1004,Nonresident,27,13,0,0,0,N/A
DB1004,Nonresident,26,1,5,0,0,N/A
DB1004,Nonresident,25,2,0,0,11,1 in 20.0
DB1004,Nonresident,24,28,0,0,0,N/A
DB1004,Nonresident,23,40,0,0,0,N/A
DB1004,Nonresident,22,3,6,0,0,N/A
DB1004,Nonresident,21,46,0,0,0,N/A
DB1004,Nonresident,20,45,0,0,0,N/A
DB1004,Nonresident,19,67,0,0,0,N/A
DB1004,Nonresident,18,56,0,1,1,1 in 56.0
DB1004,Nonresident,17,78,0,0,0,N/A
DB1004,Nonresident,16,330,0,1,1,1 in 330.0
